City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
164,Moncao,PT,1/4/2020 21:21,42.08,-8.48,51.01,93,0,5.82,clear sky,0,0
165,Roros,NO,1/4/2020 21:21,62.57,11.38,26.6,86,54,9.17,light snow,0,0
166,Leningradskiy,RU,1/4/2020 21:21,69.38,178.42,-9,62,34,1.07,scattered clouds,0,0
167,Puerto Del Rosario,ES,1/4/2020 21:21,28.5,-13.86,64.4,72,20,16.11,few clouds,0,0
168,Flinders,AU,1/4/2020 21:21,-34.58,150.85,71.01,77,90,9.17,overcast clouds,0,0
169,Antalaha,MG,1/4/2020 21:21,-14.9,50.28,79,84,100,3,overcast clouds,0,0
170,Dikson,RU,1/4/2020 21:21,73.51,80.55,0.25,82,100,22.15,overcast clouds,0,0
171,Itarema,BR,1/4/2020 21:21,-2.92,-39.92,80.62,74,62,7.2,broken clouds,0,0
172,Sorland,NO,1/4/2020 21:21,67.67,12.69,33.22,60,95,19.6,light snow,0,0
173,Avera,US,1/4/2020 21:21,33.19,-82.53,64.4,41,1,17.22,clear sky,0,0
174,Axim,GH,1/4/2020 21:21,4.87,-2.24,75.2,54,45,3.83,scattered clouds,0,0
175,Chuy,UY,1/4/2020 21:21,-33.69,-53.46,74.25,64,13,12.35,few clouds,0,0
176,Thompson,CA,1/4/2020 21:19,55.74,-97.86,1.4,77,90,8.05,light snow,0,0
177,San Cristobal,HN,1/4/2020 21:22,14.68,-86.92,80.58,50,67,9.37,light rain,0.19,0
178,Bambous Virieux,MU,1/4/2020 21:22,-20.34,57.76,78.01,94,75,13.6,light intensity shower rain,0,0
179,Karpathos,GR,1/4/2020 21:22,35.51,27.21,58.3,68,0,21.72,clear sky,0,0
180,Bethel,US,1/4/2020 21:22,60.79,-161.76,-9.4,75,1,5.82,clear sky,0,0
181,Dingle,PH,1/4/2020 21:22,11,122.67,71.56,94,4,10.02,light rain,0.13,0
182,Norman Wells,CA,1/4/2020 21:22,65.28,-126.83,-18.4,68,90,5.82,light snow,0,0
183,Sept-Iles,CA,1/4/2020 21:20,50.2,-66.38,26.6,73,75,2.24,broken clouds,0,0
184,Sao Caetano De Odivelas,BR,1/4/2020 21:22,-0.75,-48.02,77.25,94,100,2.95,moderate rain,4,0
185,Vagamo,NO,1/4/2020 21:22,61.88,9.1,10.02,85,0,12.33,clear sky,0,0
186,Lunavada,IN,1/4/2020 21:22,23.13,73.61,58.5,55,0,9.22,clear sky,0,0
187,Peniche,PT,1/4/2020 21:22,39.36,-9.38,54,76,20,6.93,few clouds,0,0
188,Camacha,PT,1/4/2020 21:22,33.08,-16.33,64.4,72,75,6.93,broken clouds,0,0
189,Vaini,IN,1/4/2020 21:22,15.34,74.49,59.25,75,0,1.34,clear sky,0,0
190,Geraldton,CA,1/4/2020 21:22,49.72,-86.95,15.8,78,90,5.82,light snow,0,0
191,Victoria,BN,1/4/2020 21:20,5.28,115.24,80.6,83,75,2.24,broken clouds,0,0
192,Antofagasta,CL,1/4/2020 21:22,-23.65,-70.4,68,72,90,13.87,overcast clouds,0,0
193,Onalaska,US,1/4/2020 21:21,43.88,-91.23,32,89,75,10.29,broken clouds,0,0
194,Grojec,PL,1/4/2020 21:22,50.09,19.57,36,74,75,13.87,broken clouds,0,0
195,Cherskiy,RU,1/4/2020 21:21,68.75,161.3,-2.87,58,31,6.64,scattered clouds,0,0
196,Alta Floresta,BR,1/4/2020 21:22,-9.87,-56.08,86,66,40,3.36,scattered clouds,0,0
197,Tuktoyaktuk,CA,1/4/2020 21:22,69.44,-133.03,-23.8,67,40,10.29,scattered clouds,0,0
198,Half Moon Bay,US,1/4/2020 21:22,37.46,-122.43,62.01,76,20,13.87,few clouds,0,0
199,Haines Junction,CA,1/4/2020 21:22,60.75,-137.51,-8.25,97,100,3.31,overcast clouds,0,0
200,Champerico,MX,1/4/2020 21:22,16.38,-93.6,71.6,56,75,23.04,broken clouds,0,0
201,Coahuayana,MX,1/4/2020 21:22,18.62,-100.35,90.01,25,0,3.42,clear sky,0,0
202,Shelburne,CA,1/4/2020 21:21,44.08,-80.2,34,79,90,4.7,overcast clouds,0,0
203,Shingu,JP,1/4/2020 21:22,33.72,135.99,45.52,66,0,15.43,clear sky,0,0
204,Kiama,AU,1/4/2020 21:22,-34.67,150.86,70,77,90,9.17,overcast clouds,0,0
205,Maun,BW,1/4/2020 21:22,-19.99,23.42,71.78,83,100,5.48,light rain,0.38,0
206,Saint-Augustin,CA,1/4/2020 21:22,45.63,-73.98,32,86,90,9.17,light snow,0,0
207,Llangefni,GB,1/4/2020 21:22,53.26,-4.31,48.99,81,100,6.93,overcast clouds,0,0
208,Tezu,IN,1/4/2020 21:22,27.93,96.16,52.48,97,68,1.52,moderate rain,4.5,0
209,Alofi,NU,1/4/2020 21:22,-19.06,-169.92,84.2,70,0,8.05,clear sky,0,0
210,Aksu,KZ,1/4/2020 21:22,52.04,76.93,24.8,92,90,8.95,overcast clouds,0,0
211,Semey,KZ,1/4/2020 21:22,50.41,80.25,12.99,89,0,9.84,clear sky,0,0
212,Fare,PF,1/4/2020 21:22,-16.7,-151.02,81.61,76,100,11.63,overcast clouds,0,0
213,Coihaique,CL,1/4/2020 21:22,-45.58,-72.07,60.8,44,75,10.29,broken clouds,0,0
214,Bara,NG,1/4/2020 21:22,10.41,10.6,66.18,30,40,9.44,scattered clouds,0,0
215,Kidal,ML,1/4/2020 21:22,18.44,1.41,55.78,27,0,11.21,clear sky,0,0
216,Ligayan,PH,1/4/2020 21:22,4.65,119.47,82,76,100,14.79,overcast clouds,0,0
217,Hami,CN,1/4/2020 21:22,42.84,93.51,16.09,56,0,1.95,clear sky,0,0
218,Mar Del Plata,AR,1/4/2020 21:22,-46.43,-67.52,64.15,42,17,13.82,few clouds,0,0
219,Bonthe,SL,1/4/2020 21:22,7.53,-12.5,77.74,57,32,6.89,scattered clouds,0,0
220,Pringsewu,ID,1/4/2020 21:22,-5.36,104.98,72.46,97,100,3.47,moderate rain,8.31,0
221,Carnarvon,ZA,1/4/2020 21:22,-30.97,22.13,72.52,24,0,14.58,clear sky,0,0
222,Gizo,IL,1/4/2020 21:22,31.8,34.94,53.6,93,40,13.87,scattered clouds,0,0
223,Areosa,PT,1/4/2020 21:22,41.72,-8.86,51.01,75,0,4.7,clear sky,0,0
224,Shahr-E Babak,IR,1/4/2020 21:22,30.12,55.12,48.61,80,100,15.55,light rain,2.19,0
225,Mitu,IR,1/4/2020 21:22,36.2,46.09,21.83,95,80,3.13,light snow,0,0
226,Gladstone,AU,1/4/2020 21:22,-23.84,151.26,78.8,61,40,9.17,scattered clouds,0,0
227,Klaksvik,FO,1/4/2020 21:22,62.23,-6.59,46.4,100,100,16.11,light rain,0,0
228,Christchurch,NZ,1/4/2020 21:22,-43.53,172.64,59,71,100,12.75,light rain,0.13,0
229,Tuatapere,NZ,1/4/2020 21:22,-46.13,167.69,55,83,100,14,light rain,2.38,0
230,Sao Jose Da Coroa Grande,BR,1/4/2020 21:22,-8.9,-35.15,80.29,76,100,14.43,overcast clouds,0,0
231,Kruisfontein,ZA,1/4/2020 21:22,-34,24.73,68.18,96,49,3.51,scattered clouds,0,0
232,Valer,ES,1/4/2020 21:22,41.76,-6.18,36.05,88,0,4.32,clear sky,0,0
233,Umm Kaddadah,SD,1/4/2020 21:22,13.6,26.69,60.87,20,0,13.58,clear sky,0,0
234,Pacific Grove,US,1/4/2020 21:22,36.62,-121.92,63,67,20,6.93,few clouds,0,0
235,Maceio,BR,1/4/2020 21:22,-9.67,-35.74,80.6,74,90,13.87,overcast clouds,0,0
236,Port Elizabeth,US,1/4/2020 21:22,39.31,-74.98,57.99,87,90,3.36,overcast clouds,0,0
237,Mayumba,GA,1/4/2020 21:22,-3.44,10.65,80.76,84,100,7.38,light rain,0.5,0
238,Brookhaven,US,1/4/2020 21:22,40.78,-72.92,50,87,90,12.75,overcast clouds,0,0
239,Roswell,US,1/4/2020 21:20,33.39,-104.52,61,29,1,9.17,clear sky,0,0
240,Codrington,AU,1/4/2020 21:22,-28.95,153.24,78.8,82,0,5.82,clear sky,0,0
241,Manicore,BR,1/4/2020 21:22,-5.81,-61.3,86.63,66,100,3.33,light rain,0.44,0
242,Hilo,US,1/4/2020 21:22,19.71,-155.08,75.99,78,90,5.82,heavy intensity rain,0,0
243,Pedernales,EC,1/4/2020 21:22,0.07,-80.05,77.85,79,38,7.02,scattered clouds,0,0
244,Severobaykalsk,RU,1/4/2020 21:22,55.65,109.32,23.92,80,42,2.71,scattered clouds,0,0
245,Karwar,IN,1/4/2020 21:22,14.8,74.13,69.1,82,0,5.82,clear sky,0,0
246,Tomatlan,MX,1/4/2020 21:22,19.93,-105.25,86.68,21,49,5.01,scattered clouds,0,0
247,Annau,TM,1/4/2020 21:22,37.89,58.52,41,86,90,9.17,overcast clouds,0,0
248,Nizhniy Odes,RU,1/4/2020 21:22,63.64,54.86,26.67,91,96,9.08,overcast clouds,0,0
